SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
526725,SANDESH LTD.,675.0,798.0,656.0,692.55
526727,GARNET CONST,20.0,20.65,19.85,20.55
526729,GOLDIAM INT.,352.35,355.0,337.3,349.2
526731,BRIGHT BROS.,87.95,87.95,79.5,79.8
526737,CORPOR COUR ,3.18,3.18,3.15,3.17
526739,NARMADA GEL ,156.55,159.55,156.2,158.4
526747,P.G.FOILS   ,81.45,85.0,80.25,83.5
526751,GRATEX INDS.,14.44,14.44,14.44,14.44
526755,VELAN HOTELS,2.36,2.6,2.36,2.52
526761,HOWARD HOTEL,4.35,4.35,4.35,4.35
526775,VALIANT COMM,71.3,71.5,69.25,71.25
526783,DR.AGAR.EYE ,377.95,377.95,349.45,369.95
526797,GREENPLY IND,172.4,173.55,169.2,169.25
526807,SEAMEC LTD  ,460.0,499.8,460.0,476.55
526813,RAGHUNATH IN,4.35,4.35,4.35,4.35
526817,CHEVIOT CO. ,798.0,798.0,762.05,774.0
526821,DAI-ICHI KAR,254.95,257.95,245.0,251.1
526823,RAJINFRA    ,5.21,5.21,4.9,4.9
526827,SPICE ISLAND,4.29,4.29,4.25,4.25
526829,CONFI PETRO ,43.85,44.75,42.6,43.2
526839,SHELTER     ,8.6,8.6,8.6,8.6
526847,ASHIRWAD STL,13.0,13.2,13.0,13.0
526849,BANARAS BEAD,58.75,59.55,57.15,57.9
526851,AREX IND.   ,52.05,52.05,52.05,52.05
526853,BILCARE LTD.,60.05,60.65,57.0,57.3
526859,INTER ST.FIN,0.85,0.85,0.85,0.85
526861,RISHI LASER ,10.76,11.28,10.72,10.72
526865,JAINCO PROJ.,0.86,0.86,0.86,0.86
526869,KUMBHAT FIN.,3.53,3.53,3.53,3.53
526871,INTEC CAP   ,16.45,16.45,15.5,15.5
526881,63MOONS     ,80.95,81.4,80.3,80.45
526885,SARLA PER F ,30.4,30.4,27.9,28.35
526891,MARKET CREAT,4.18,4.18,4.18,4.18
526899,HFIL        ,11.45,11.69,11.05,11.13
526905,PADMAIND    ,4.9,4.9,4.9,4.9
526921,21ST CEN.MGM,12.0,12.25,12.0,12.25
526931,HARIYANA SH.,43.85,48.0,43.85,46.7
526935,ARUNIS      ,23.85,25.4,23.25,25.35
526945,TYROON TEA  ,48.0,48.95,45.45,46.0
526947,LA-OPALA RG ,221.85,229.0,220.5,222.7
526951,GOLDEN LAMIN,1125.0,1145.0,1080.0,1124.2
526953,VENUS REMEDI,208.5,212.0,205.05,208.15
526965,GUJ.CRAFT IN,36.0,39.0,35.95,39.0
526971,DHOOT I.FIN.,42.7,43.95,40.5,42.6
526981,SHBAJRG     ,99.65,100.0,93.3,94.4
526987,URJA GLOBAL ,7.54,7.58,7.25,7.4
527001,ASHAPURA LTD,115.2,118.0,113.35,114.55
530001,GUJ.ALKALI  ,316.9,324.35,316.85,321.9
530005,INDIA CEM.  ,162.3,169.0,161.8,166.5
530007,JK TYRE IND ,128.05,131.05,125.7,126.45
530011,MANGLR.CHEM ,78.0,87.2,75.55,84.1
530017,STD.INDUST. ,12.5,12.7,11.57,12.62
530019,JUBLPHARMA  ,765.0,778.35,749.55,757.95
530023,THEINVEST   ,102.0,102.0,98.0,98.2
530043,ACKNIT IND  ,98.35,98.8,94.7,96.15
530045,TITAN SECUR.,10.59,10.59,9.65,9.98
530047,MOHOTAIND   ,7.75,7.75,7.16,7.24
530057,VIVANZA     ,153.3,153.3,153.3,153.3
530063,YASRAJ CONT.,2.61,2.61,2.37,2.37
530065,LORDSHOTL   ,5.0,5.15,5.0,5.03
530067,CSLFINANCE  ,255.95,255.95,246.0,253.65
530073,SANGHVI MOVE,109.55,118.55,105.1,108.65
530075,SELAN EXPLOR,139.0,141.6,137.0,137.85
530077,FRESHTROP FR,77.5,77.5,75.5,76.15
530079,FAZE THREE L,62.0,64.65,61.95,63.45
530095,PRADHIN     ,31.4,31.4,31.3,31.4
530109,ANUPAM      ,7.75,7.89,7.6,7.84
530111,RAJ PACKAGIN,19.95,19.95,19.1,19.1
530117,PRIVISCL    ,681.55,689.0,643.6,662.05
530119,NATRAJ PROTE,26.3,26.35,24.1,26.0
530125,SAMRAT PHARM,139.0,149.0,135.0,145.6
530127,NPR FINANCE ,12.5,12.5,12.32,12.33
530129,NILE LTD.   ,359.8,360.0,346.0,352.45
530131,UDAIPUR CEME,20.35,20.9,19.95,20.15
530133,AMCO INDIA L,25.25,26.95,24.6,26.75
530135,OPTIEMUS    ,162.65,162.65,162.65,162.65
530145,KISAN MOULD.,12.69,12.74,12.35,12.74
530151,VIJAY TEXTIL,35.8,38.55,35.8,38.45
530161,GARODIA CHEM,5.32,5.32,5.32,5.32
530163,KERALA AYUR ,48.0,48.5,47.55,48.0
530169,MOHIT PAPER ,5.1,5.56,5.1,5.56
530171,DAULAT SEC. ,5.6,6.18,5.6,6.14
530173,OSCAR GLOBAL,3.19,3.19,3.19,3.19
530175,ODYSSEY TECH,23.0,23.45,22.2,23.45
530185,SURAT TEXT. ,4.05,4.2,4.04,4.08
530187,ATHARV ENT  ,0.96,1.02,0.96,0.99
530197,FUNDVISER   ,5.0,5.0,5.0,5.0
530199,THEMIS MEDIC,312.05,315.75,310.0,311.6
530201,KALLAM      ,10.5,10.5,10.0,10.09
530207,BRAWN BIO   ,23.6,24.7,23.6,24.7
530213,FORTUNE INT.,12.5,12.91,12.5,12.5
530215,KINGSINFRA  ,27.2,28.0,25.9,26.0
530233,AURO LAB.   ,92.7,94.0,90.0,91.35
